,Tag ID,Longitude,Latitude,Scientific Name,gps:satellite-count,individual-local-identifier
243,F701533,-92.875846,57.866509,Vulpes vulpes,10,A
244,F701533,-92.874899,57.865373,Vulpes vulpes,8,A
245,F701533,-92.87807,57.86713,Vulpes vulpes,7,A
246,F701533,-92.872697,57.864403,Vulpes vulpes,7,A
247,F701533,-92.874704,57.855843,Vulpes vulpes,12,A
248,F701533,-92.878414,57.854496,Vulpes vulpes,7,A
249,F701533,-92.894674,57.85265,Vulpes vulpes,8,A
250,F701533,-92.894705,57.852583,Vulpes vulpes,7,A
251,F701533,-92.892882,57.851973,Vulpes vulpes,7,A
252,F701533,-92.892756,57.851944,Vulpes vulpes,7,A
253,F701533,-92.892944,57.851952,Vulpes vulpes,12,A
254,F701533,-92.892844,57.851963,Vulpes vulpes,8,A
255,F701533,-92.892772,57.851986,Vulpes vulpes,7,A
256,F701533,-92.894128,57.851226,Vulpes vulpes,6,A
257,F701533,-92.888904,57.850959,Vulpes vulpes,7,A
258,F701533,-92.888873,57.85101,Vulpes vulpes,5,A
259,F701533,-92.889023,57.850806,Vulpes vulpes,8,A
260,F701533,-92.889595,57.852007,Vulpes vulpes,7,A
261,F701533,-92.884503,57.852927,Vulpes vulpes,8,A
262,F701533,-92.874294,57.854784,Vulpes vulpes,9,A
263,F701533,-92.874865,57.854316,Vulpes vulpes,8,A
264,F701533,-92.875212,57.854143,Vulpes vulpes,8,A
265,F701533,-92.893076,57.851951,Vulpes vulpes,7,A
266,F701533,-92.902066,57.853132,Vulpes vulpes,9,A
267,F701533,-92.898853,57.854211,Vulpes vulpes,7,A
268,F701533,-92.898971,57.854216,Vulpes vulpes,8,A
269,F701533,-92.899959,57.853777,Vulpes vulpes,9,A
270,F701533,-92.900021,57.853819,Vulpes vulpes,8,A
271,F701533,-92.899066,57.85305,Vulpes vulpes,9,A
272,F701533,-92.913216,57.850255,Vulpes vulpes,7,A
273,F701533,-92.915884,57.847652,Vulpes vulpes,6,A
274,F701533,-92.915866,57.847595,Vulpes vulpes,6,A
275,F701533,-92.915932,57.847581,Vulpes vulpes,7,A
276,F701533,-92.915911,57.847542,Vulpes vulpes,8,A
277,F701533,-92.915862,57.847634,Vulpes vulpes,8,A
278,F701533,-92.915236,57.847572,Vulpes vulpes,8,A
279,F701533,-92.913885,57.847619,Vulpes vulpes,7,A
280,F701533,-92.920863,57.853456,Vulpes vulpes,6,A
281,F701533,-92.923328,57.852049,Vulpes vulpes,8,A
282,F701533,-92.937583,57.874423,Vulpes vulpes,8,A
283,F701533,-92.939108,57.878682,Vulpes vulpes,6,A
284,F701533,-92.939063,57.878653,Vulpes vulpes,8,A
285,F701533,-92.931564,57.895698,Vulpes vulpes,8,A
286,F701533,-92.930262,57.884306,Vulpes vulpes,8,A
287,F701533,-92.9302,57.884238,Vulpes vulpes,8,A
288,F701533,-92.932931,57.87877,Vulpes vulpes,7,A
289,F701533,-92.939671,57.87114,Vulpes vulpes,7,A
290,F701533,-92.939891,57.871287,Vulpes vulpes,6,A
291,F701533,-92.939598,57.871167,Vulpes vulpes,7,A
292,F701533,-92.939334,57.871033,Vulpes vulpes,8,A
293,F701533,-92.93954,57.871149,Vulpes vulpes,8,A
294,F701533,-92.93949,57.871175,Vulpes vulpes,6,A
295,F701533,-92.937313,57.872932,Vulpes vulpes,8,A
296,F701533,-92.934379,57.889653,Vulpes vulpes,10,A
297,F701533,-92.913921,57.883263,Vulpes vulpes,7,A
298,F701533,-92.887126,57.872535,Vulpes vulpes,9,A
299,F701533,-92.886956,57.872543,Vulpes vulpes,8,A
300,F701533,-92.887162,57.87248,Vulpes vulpes,8,A
301,F701533,-92.888124,57.867922,Vulpes vulpes,8,A
302,F701533,-92.888227,57.867826,Vulpes vulpes,8,A
303,F701533,-92.887103,57.860532,Vulpes vulpes,7,A
304,F701533,-92.876159,57.854092,Vulpes vulpes,7,A
305,F701533,-92.880381,57.853764,Vulpes vulpes,8,A
306,F701533,-92.880356,57.853793,Vulpes vulpes,6,A
307,F701533,-92.880265,57.853885,Vulpes vulpes,8,A
308,F701533,-92.880419,57.853829,Vulpes vulpes,10,A
309,F701533,-92.880282,57.85381,Vulpes vulpes,9,A
310,F701533,-92.879521,57.853582,Vulpes vulpes,9,A
311,F701533,-92.877174,57.851103,Vulpes vulpes,7,A
312,F701533,-92.866119,57.865902,Vulpes vulpes,9,A
313,F701533,-92.858731,57.871525,Vulpes vulpes,8,A
314,F701533,-92.820171,57.879135,Vulpes vulpes,8,A
315,F701533,-92.820148,57.879115,Vulpes vulpes,8,A
316,F701533,-92.820111,57.879096,Vulpes vulpes,8,A
317,F701533,-92.81676,57.875508,Vulpes vulpes,9,A
318,F701533,-92.852696,57.87904,Vulpes vulpes,7,A
319,F701533,-92.867742,57.865628,Vulpes vulpes,7,A
320,F701533,-92.868709,57.866553,Vulpes vulpes,6,A
321,F701533,-92.868637,57.866611,Vulpes vulpes,8,A
322,F701533,-92.868765,57.866544,Vulpes vulpes,7,A
323,F701533,-92.868591,57.866541,Vulpes vulpes,8,A
324,F701533,-92.866648,57.866589,Vulpes vulpes,8,A
325,F701533,-92.863387,57.868419,Vulpes vulpes,8,A
326,F701533,-92.840054,57.878282,Vulpes vulpes,7,A
327,F701533,-92.874978,57.893165,Vulpes vulpes,7,A
328,F701533,-92.881965,57.893553,Vulpes vulpes,9,A
329,F701533,-92.882063,57.89351,Vulpes vulpes,8,A
330,F701533,-92.888796,57.884668,Vulpes vulpes,8,A
331,F701533,-92.888781,57.884456,Vulpes vulpes,8,A
332,F701533,-92.895699,57.878941,Vulpes vulpes,9,A
333,F701533,-92.887525,57.880637,Vulpes vulpes,9,A
334,F701533,-92.887467,57.880762,Vulpes vulpes,6,A
335,F701533,-92.887733,57.880686,Vulpes vulpes,6,A
336,F701533,-92.887571,57.880692,Vulpes vulpes,7,A
337,F701533,-92.887497,57.880624,Vulpes vulpes,12,A
338,F701533,-92.887576,57.88072,Vulpes vulpes,7,A
339,F701533,-92.887611,57.880488,Vulpes vulpes,8,A
340,F701533,-92.887469,57.880642,Vulpes vulpes,8,A
341,F701533,-92.918847,57.884956,Vulpes vulpes,8,A
342,F701533,-92.961955,57.907131,Vulpes vulpes,7,A
343,F701533,-92.936029,57.942496,Vulpes vulpes,6,A
344,F701533,-92.936095,57.942517,Vulpes vulpes,8,A
345,F701533,-92.936213,57.942431,Vulpes vulpes,6,A
